Model	Adjusted R-Squared	R-Squared	RMSE	Time Taken
GaussianProcessRegressor	0.11080655997228661	0.1729010739407023	81.71846155360326	6.747485160827637
LassoLars	-0.08762922877169532	-0.011677466985962504	90.37795120849343	0.052985429763793945
DummyRegressor	-0.08762922877169532	-0.011677466985962504	90.37795120849343	0.019977092742919922
NuSVR	-0.11413838560474043	-0.036335425716141234	91.47272679409393	1.057802677154541
SVR	-0.11513844932081141	-0.03726565258053127	91.51377108329974	1.1179063320159912
LarsCV	-0.11694092064300499	-0.03894225300033716	91.58770107227268	0.28124046325683594
LassoLarsCV	-0.1174369905228001	-0.03940368112874992	91.60803735661544	0.25888919830322266
HuberRegressor	-0.1175804935587883	-0.039537163003007025	91.613919392722	1.175229787826538
LinearSVR	-0.11775968671060943	-0.039703842666572564	91.6212637983617	0.515150785446167
ElasticNetCV	-0.12119685803624014	-0.04290098806164244	91.76202583270612	0.29587292671203613
LassoCV	-0.1250779586544042	-0.04651106210032574	91.9207089337665	0.2524583339691162
PassiveAggressiveRegressor	-0.13186965348211688	-0.052828476562974735	92.19773776827941	0.06491875648498535
TweedieRegressor	-0.14653261143500051	-0.06646748493814303	92.79301009710304	0.22857117652893066
GeneralizedLinearRegressor	-0.14653261143500051	-0.06646748493814303	92.79301009710304	0.32549357414245605
OrthogonalMatchingPursuitCV	-0.14671881003020526	-0.06664068083815189	92.80054465238706	0.11076092720031738
OrthogonalMatchingPursuit	-0.14671881003020526	-0.06664068083815189	92.80054465238706	0.03536057472229004
BayesianRidge	-0.1469504067169134	-0.06685610457187763	92.80991539498608	0.387052059173584
ElasticNet	-0.15955713847462794	-0.07858247796662332	93.31858261715965	0.07004404067993164
LassoLarsIC	-0.18023796763242772	-0.09781911514412966	94.14707845903699	0.06326746940612793
Lasso	-0.21274261851174736	-0.1280538881687483	95.43471411494	0.07039380073547363
RidgeCV	-0.2657025840406628	-0.17731553208251594	97.49624518144316	0.24360442161560059
Ridge	-0.2682236134954503	-0.1796605119943715	97.59329350817501	0.029901981353759766
TransformedTargetRegressor	-0.2685112542488697	-0.17992806610299894	97.60436025407112	0.029727697372436523
LinearRegression	-0.2685112542488697	-0.17992806610299894	97.60436025407112	0.11538100242614746
KernelRidge	-0.304414801803343	-0.2133243826829978	98.97600404117372	11.807232856750488
Lars	-0.33636572375420437	-0.24304409500041912	100.18085200046767	0.09166288375854492
SGDRegressor	-0.3619563676043851	-0.26684768271581083	101.13550658002696	0.044826507568359375
PoissonRegressor	-0.4059455430617662	-0.30776498837868194	102.75579096140943	0.539771556854248
MLPRegressor	-0.4188714658823067	-0.3197882629575646	103.227066170129	27.210509300231934
HistGradientBoostingRegressor	-0.6968878166506554	-0.578390064091252	112.88821933552155	526.7831687927246
LGBMRegressor	-0.7281099544391219	-0.6074318849950491	113.92203726508872	55.36886739730835
ExtraTreesRegressor	-0.9013847885825848	-0.7686065212234658	119.49701709342604	2.4310176372528076
RandomForestRegressor	-1.0193909585191259	-0.8783720368348293	123.14938876714773	17.00473403930664
KNeighborsRegressor	-1.0655289703820845	-0.9212881204950674	124.54827078381666	0.23035144805908203
XGBRegressor	-1.2617876229266138	-1.1038415598730795	130.3310723161954	63.66478776931763
BaggingRegressor	-1.455309827373295	-1.2838496438975064	135.7923199009376	1.908484935760498
GradientBoostingRegressor	-2.095575404468858	-1.87940393767634	152.47293160672066	3.137352705001831
ExtraTreeRegressor	-5.1664641165231036	-4.735845113972608	215.19895655510854	0.0895078182220459
DecisionTreeRegressor	-6.499285236554099	-5.97559213344278	237.3187177193752	0.30943751335144043
AdaBoostRegressor	-10.127496575365303	-9.350436758649849	289.0818274995949	1.168649673461914
