Model	Adjusted R-Squared	R-Squared	RMSE	Time Taken
GaussianProcessRegressor	-0.024622233664266302	0.04723065789704273	114.6793296843841	3.942544460296631
LassoLars	-0.0974646725652486	-0.02050361558311331	118.6857374423523	0.10490655899047852
DummyRegressor	-0.0974646725652486	-0.02050361558311331	118.6857374423523	0.042326927185058594
NuSVR	-0.10327779979035556	-0.025909090127637757	118.9996537333108	1.8574588298797607
SVR	-0.10424080812103442	-0.026804566317315315	119.0515774926132	1.9680511951446533
HuberRegressor	-0.10643850126370857	-0.028848143531330805	119.16998861389122	1.6423258781433105
LinearSVR	-0.10672747372418923	-0.0291168514433906	119.18554962183757	0.5962717533111572
PassiveAggressiveRegressor	-0.11376620533127602	-0.035661983358535876	119.5639559935201	0.1717052459716797
LassoLarsCV	-0.12663787034482943	-0.04763100706679091	120.2528645894219	0.42517900466918945
LarsCV	-0.12663787034482943	-0.04763100706679091	120.2528645894219	0.3971829414367676
LassoCV	-0.13519083211606908	-0.05558418189755088	120.70845619330149	0.3477213382720947
GeneralizedLinearRegressor	-0.14229295425209587	-0.062188259003000734	121.0854630750904	0.48056697845458984
TweedieRegressor	-0.14229295425209587	-0.062188259003000734	121.0854630750904	0.44850921630859375
ElasticNetCV	-0.16066848524307087	-0.07927518333261707	122.05550003286778	0.48099470138549805
BayesianRidge	-0.17224440445594746	-0.0900393270046187	122.66264978588767	0.7946670055389404
ElasticNet	-0.17456145679618928	-0.0921938932059938	122.78381712626053	0.1058037281036377
OrthogonalMatchingPursuitCV	-0.1856341322338273	-0.10249008369008061	123.36120549090755	0.32674074172973633
LassoLarsIC	-0.23670208485983535	-0.14997683346714008	125.98992124449134	0.14075088500976562
OrthogonalMatchingPursuit	-0.2927191417650281	-0.20206562551222107	128.81171064909398	0.04302644729614258
Lasso	-0.32749814734859406	-0.23440571064813165	130.5329700746316	0.17678523063659668
KernelRidge	-0.3953395357622418	-0.29748963844371157	133.82683526045702	2.263749837875366
RidgeCV	-0.39677011706898524	-0.29881989848069734	133.89542111992077	0.7158708572387695
Ridge	-0.40263159861147657	-0.3042703364367587	134.17606998331314	0.0646200180053711
TransformedTargetRegressor	-0.4033004140758054	-0.3048922503958753	134.20805569347488	0.15781140327453613
LinearRegression	-0.4033004140758054	-0.3048922503958753	134.20805569347488	0.12986111640930176
Lars	-0.4034883593488465	-0.30506701577599626	134.21704269473088	0.09787464141845703
SGDRegressor	-0.47413483577094095	-0.3707593213410012	137.55356882303465	0.1403806209564209
PoissonRegressor	-0.585702999131714	-0.4745036303286485	142.6639294484652	1.266160249710083
MLPRegressor	-0.592017971784867	-0.4803757577747081	142.9477227031284	121.73993301391602
ExtraTreesRegressor	-1.1610533630371886	-1.009506843890121	166.54668912604782	4.08478856086731
LGBMRegressor	-1.764116479299906	-1.5702794190404457	188.35685399097744	113.40961074829102
HistGradientBoostingRegressor	-1.8780249326412308	-1.6761999023017338	192.19873899982798	2344.8720977306366
AdaBoostRegressor	-3.218233884349752	-2.922425056555239	232.6851063598253	0.8030633926391602
KNeighborsRegressor	-3.461064034626645	-3.148226444540625	239.28886326157686	0.40221667289733887
RandomForestRegressor	-3.5826911323419495	-3.261324292766778	242.52893051582328	19.708878755569458
BaggingRegressor	-3.747941617494546	-3.4149863848511703	246.86296622310604	1.311690092086792
XGBRegressor	-12.537677579202818	-11.588331325401779	416.8457147568523	161.92958688735962
GradientBoostingRegressor	-12.86812876475301	-11.895609216032604	421.90258925349576	3.0739479064941406
ExtraTreeRegressor	-18.528098704231258	-17.158666817539025	500.6488682660575	0.1258835792541504
DecisionTreeRegressor	-19.870754588435926	-18.407167310144487	517.5738593600888	0.43613767623901367
